article_id,article_num,infraction_desc,categorie_vehicule,amende_fixe,points_retrait,type_article,mots_cles,has_vitesse,has_alcool,has_ceinture,has_telephone,has_stationnement,has_feu_rouge,has_suspension,has_prison,has_recidive,has_transport
ART_014,14,بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (نسخت وعوضت مبوجب املادة الثانية من القانون رقم )5879 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 من شوال13 .يجب على كل شخص حاصل على رخصة السياقة الخضوع لفحص طبي كل عشر سنوات,non_specifie,,,sanction,طبي | انه | للنقل | لهذه | الحاصلين,0,0,0,0,0,0,0,0,0,0
ART_015,15,: أعاله14 و12 عالوة على الفحوص الطبية املنصوص عليها في املادتين يخضع لفحص طبي كل شخص حاصل على رخصة سياقة أصيب بمرض أو بعجز منصوص- 1 عليه في قائمة تضعها اإلدارة، بعد استشارة املجلس الوطني لهيئة األطباء الوطنية، وذلك داخل أجل,non_specifie,,,definition,طبي | حاصل | اثر | الطبي | الفحص,0,0,0,0,0,0,0,0,0,0
ART_016,16,تجرى الفحوص الطبية اإلجبارية املفروضة بموجب هذا القانون من قبل أطباء من القطاع العام بعده. ويقوم عند االقتضاء21 أو من القطاع الخاص يستوفون الشروط املنصوص عليها في املادة .بإجراء الفحص متخصص أو متخصصون حسب طبيعة الفحص الالزم إجراؤه,non_specifie,,,definition,الفحص | بموجب | الطبيه | بعده | االقتضاء,0,0,0,0,0,0,0,0,0,0
ART_017,17,بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (نسخت وعوضت مبوجب املادة الثانية من القانون رقم )5879 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 من شوال13 أعاله، شهادة إلى املعني باألمر14 و12 يسلم الطبيب الذي قام بالفحص الطبي وفق أحكام املادتين,non_specifie,,,sanction,الطبي | الفحص | انه | باالمر | املعني,0,0,0,0,0,0,0,0,0,0
ART_018,18,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال أعاله، إلى اإلدارة املختصة، نسخة15 يوجه الطبيب الذي قام بالفحص الطبي، طبقا ألحكام املادة,moto,,,sanction,استعمال | طبي | هما | انه | معا,0,0,0,0,0,0,1,0,0,0
ART_019,19,،إذا نازع صاحب رخصة السياقة أو اإلدارة في استنتاجات الطبيب املضمنة في الشهادة الطبية يخضع املعني باألمر، بطلب منه أو بطلب من اإلدارة، لفحص طبي مضاد تجريه لجنة طبية لالستئناف . بعده21 تتكون وفق أحكام املادة,non_specifie,,,definition,الطبيه | طبي | قام | الفحص | الطبي,0,0,0,0,0,0,0,0,0,0
ART_020,20,إذا نازع صاحب رخصة السياقة أو اإلدارة في استنتاجات اللجنة الطبية لالستئناف، يخضع املعني باألمر، بطلب منه أو بطلب من اإلدارة، لفحص طبي مضاد يجريه طبيب خبير يعين بأمر من رئيس .املحكمة االبتدائية التابع لدائرة نفوذها املكان الذي يقيم فيه صاحب الرخصة,non_specifie,,,definition,صاحب | طبي | املدنيه | الطبيه | يخضع,0,0,0,0,0,0,0,0,0,0
ART_021,21,19 و16 تعتمد اإلدارة األطباء واألطباء أعضاء اللجنة الطبية لالستئناف املشار إليهم في املادتين أعاله، املؤهلين لتسليم الشهادات الطبية املنصوص عليها في هذا الفرع، إذا أثبتوا توفرهم على معارف علمية وتجهيزات خاصة ومالئمة تحدد اإلدارة الئحتها بعد استطالع رأي املجلس الوطني لهيئة األطباء,non_specifie,,,definition,الطبيه | الوطني | الفرع | الوطنيه | تحدد,0,0,0,0,0,0,0,0,0,0
ART_022,22,يخصص رصيد من النقط لرخصة السياقة. ويخفض هذا الرصيد بقوة القانون إذا أدين صاحب الرخصة من أجل مخالفة تستوجب هذا التخفيض أو أدى الغرامة التصالحية والجزافية في الحاالت .املنصوص عليها في هذا القانون وفي النصوص الصادرة لتطبيقه,non_specifie,,,definition,النقط | رصيد | املخصص | االختباريه | لرخصه,0,0,0,0,0,0,0,0,0,0
ART_023,23,بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (نسخت وعوضت مبوجب املادة الثانية من القانون رقم )5880 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 من شوال13 أعاله، على رخصة السياقة10 يحصل املترشح الذي اجتاز بنجاح االختبارات املشار إليها في املادة,moto,,,sanction,نقطه | رصيد | يخضع | سنتين | الفتره,0,0,0,0,0,0,0,0,0,0
ART_024,24,بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (نسخت وعوضت مبوجب املادة الثانية من القانون رقم )5880 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 من شوال13 تلغى الرخصة بقوة القانون ابتداء من تاريخ فقدان آخر نقطة من الرصيد املخصص لرخصة,non_specifie,,,sanction,جديده | نقطه | الرخصه | لها | سياقه,0,0,0,0,0,0,0,0,0,0
ART_025,25,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (نسخت مبوجب املادة الرابعة من القانون رقم )5885 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال,non_specifie,,,sanction,نسخت | بتاريخ | رقم | مبوجب | الظهري,0,0,0,0,0,0,0,0,0,0
ART_026,26,يجب على صاحب رخصة السياقة، الذي فقد خالل الفترة االختبارية أكثر من ثلثي النقط املخصصة .للرخصة املذكورة، أن يخضع لدورة في التربية على السالمة الطرقية تحدد كيفياتها من قبل اإلدارة األمانة العامة للحكومة,non_specifie,,,definition,الفتره | االختباريه | املخصصه | يخضع | انتهاء,0,0,0,0,0,0,0,0,0,0
ART_027,27,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال ، أعاله26 أعاله،ومع مراعاة أحكام املادة23 عند انتهاء الفترة االختبارية املنصوص عليها في املادة,non_specifie,,,sanction,خصم | نقطه | االقظصي | انتهاء | مراعاه,0,0,0,0,0,0,0,0,0,0
ART_028,28,يثبت ارتكاب مخالفة مؤدية إلى خصم عدد من النقط من رصيد رخصة السياقة، بأداء غرامة .تصالحية وجزافية أو بمقرر قضائي باإلدانة حاز قوة الآشيء املقغضي به يتم إخبار مرتكب املخالفة بأن أداء الغرامة التصالحية والجزافية يعد اعترافا بارتكاب املخالفة,non_specifie,,,definition,النقط | خصم | غرامه | باالدانه | رصيد,0,0,0,0,0,0,0,0,0,0
ART_029,29,.يحدد عدد النقط الواجب خصمها تبعا لجسامة املخالفة املرتكبة,non_specifie,,,definition,الواجب | يحدد | النقط | املخالفه | عدد,0,0,0,0,0,0,0,0,0,0
ART_030,30,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال ،يتم إخبار املعني باألمر، عند إشعاره بأن إحدى املخالفات املؤدية إلى خصم النقط قد سجلت عليه,non_specifie,,,sanction,النقط | خصم | لرخصه | عند | املخصص,0,0,0,0,0,0,0,0,0,0
ART_031,31,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال إذا ثبت ارتكاب مخالفة بأداء غرامة تصالحية وجزافية بين يدي العون محرر املحضر وترتب على,vehicule_motorise,,,sanction,ساعه | محرر | العون | املحضر | سياقه,0,0,0,0,0,0,0,0,0,0
ART_032,32,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال أعاله وفي حالة فقدانه مجموع النقط ، يتلقى املعني31 في ما عدا الحالة املنصوص عليها في املادة,vehicule_motorise,,,sanction,مجموع | النقط | سياقه | خصم | عدا,0,0,0,0,0,0,0,0,0,0
ART_033,33,) نقط وذلك4( يجوز لصاحب رخصة السياقة، قبل انصرام الفترة االختبارية، أن يسترجع أربع .دون تجاوز الحد األقظصى املخصص لرخصته، إذا خضع لدورة في التربية على السالمة الطرقية,non_specifie,,,definition,خضع | املخصص | االقظصي | الحد | الفتره,0,0,0,0,0,0,0,0,0,0
ART_034,34,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال ال يجوز للحاصل على رخصة السياقة، الذي فقد مجموع النقط بعد الفترة االختبارية، التقدم من,non_specifie,,,sanction,مجموع | النقط | االختباريه | جديد | الفتره,0,0,0,0,0,0,0,0,0,0
ART_035,35,إذا لم يرتكب صاحب رخصة السياقة مخالفة جديدة معاقبا عليها بخصم النقط، داخل أجل ) سنوات من التاريخ الذي حاز فيه آخر مقرر قضائي باإلدانة قوة الآشيء املقغضي به أو من3( ثالث تاريخ أداء آخر غرامة تصالحية وجزافية، خصص لرخصته من جديد، الرصيد األقظصى من النقط,non_specifie,,,definition,اخر | النقط | باالدانه | غرامه | مخالفه,0,0,0,0,0,0,0,0,0,0
ART_036,36,يمكن أن تحرر رخصة السياقة في حامل يكون قابال ألن تسجل عليه في شكل إلكتروني املعلومات .التي تحتوي عليها الرخصة .تكون للمحرر في شكل إلكتروني نفس القيمة الثبوتية للمحرر على حامل من ورق,non_specifie,,,definition,شكل | اصناف | صنف | حاصل | املعلومات,0,0,0,0,0,0,0,0,0,0
ART_037,37,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (متمت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال : يجب أن يتضمن الحامل املحررة فيه رخصة السياقة ، على الخصوص ما يلي,moto,,,sanction,البيانات | صاحب | صنف | املتعلقه | الخصوص,0,0,0,0,0,0,0,0,0,0
ART_038,38,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5868 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال .تحدد مدة صالحية الحامل املحررة فيه رخصة السياقة في عشر سنوات,non_specifie,,,sanction,الحامل | تغيير | الحاله | املحرره | عند,0,0,0,0,0,0,0,0,0,0
ART_039,39,يجب على أصحاب رخصة السياقة أن يقوموا بتغيير الحامل املحررة فيه، إذا قررت اإلدارة ذلك .التغيير، خاصة اعتبارا للتطور التكنولوجي .تحدد اإلدارة نوع وشكل الحامل املحررة فيه رخصة السياقة وكذا كيفيات تغييره,non_specifie,,,definition,املحرره | الحامل | السياقه | رخصه | عدا,0,0,0,0,0,0,0,0,0,0
ART_040,40,من شوال13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5868 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 ال يجوز ألي كان سياقة املركبات املبينة بعده، بصفة مهنية، إن لم يكن حاصال على بطاقة سائق,non_specifie,,,sanction,مركبات | بطاقه | النقل | سايق | الحموله,0,0,0,0,0,0,0,0,0,0
ART_041,41,،يجب على كل حاصل على بطاقة سائق منهي أن يتابع، كل خمس سنوات، ألجل تجديد هذه البطاقة .تكوينا مستمرا خالل السنة األخيرة من هذه الفترة,non_specifie,,,definition,بطاقه | يجب | الفتره | حاصل | سنوات,0,0,0,0,0,0,0,0,0,0
ART_042,42,: أعاله على41 و40 يجب أن ينصب التكوين التأهيلي والتكوين املستمر املشار إليهما في املادتين -	االستعمال الرشيد للمركبة حسب خصائصها التقنية ؛ اتخاذ موقف مناسب في حاالت االستعجال لتوقع الخطر واحترام املستعملين اآلخرين للطريق,vehicule_motorise,,,definition,قواعد | تطبيق | السالمه | هما | للطريق,0,0,0,0,0,0,0,0,0,0
ART_043,43,يلقن التكوين التأهيلي األولي والتكوين املستمر، املشار إليهما في هذا الباب، بمؤسسات تعتمدها .اإلدارة لهذا الغرض تحدد اإلدارة برنامج التكوين التأهيلي األولي والتكوين املستمر وكيفيات التقييم وكذا نموذج,non_specifie,,,definition,الباب | االولي | تسليمها | بطاقه | وكذا,0,0,0,0,0,0,0,0,0,0
ART_044,44,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5868 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال : يراد في مفهوم هذا القانون بما يلي,voiture,,,definition,دراجه | بمحرك | العجالت | رباعيه | الوزن,0,0,0,0,0,0,0,0,0,0
ART_045,45,يجب صنع املركبات أو مجموعة املركبات وتسويقها واستغاللها واستعمالها وصيانتها وعند االقتضاء، إصالحها، على نحو يؤمن سالمة مستعملي الطريق العمومية ويقلل من استهالك الطاقة .ومن إحداث نفايات غير قابلة إلعادة استعمالها ومن انبعاث مواد ملوثة,non_specifie,,,definition,ومن | املركبات | مستعملي | مواد | وعند,0,0,0,0,0,0,0,0,0,0
ART_046,46,يجب أن تؤمن قواعد صنع وتجهيز املركبات وتهيئتها، حسب االستعمال املخصصة له، والتي تضعها اإلدارة، ضمانات صالبة وسالمة كافية تمكن السائق من التحكم في مركبته ومن التقليص قدر اإلمكان من أخطار الحوادث والعواقب الناجمة عنها، سواء بالنسبة لركاب املركبة أو بالنسبة,non_specifie,,,definition,بالنسبه | العموميه | مستعملي | معا | عنها,0,0,0,0,0,0,0,0,0,0
ART_047,47,تحدد قواعد صنع وتجهيز وتهيئة املركبات الخصائص التقنية أو املعايير املتعلقة على الخصوص بما إطارات العجالت واالتصال باألرض ؛- 2 أبعاد الحمولة وأجهزة الشحن وربط الشحنة ؛- 4,non_specifie,,,definition,اجهزه | لالشخاص | الخاصه | مركبات | الحموله,1,0,0,0,0,0,0,0,0,0
ART_048,48,.يجب أن تجهز كل مركبة وكل مقطورة بأجهزة السالمة ولوازمها .تحدد اإلدارة أجهزة السالمة ولوازمها والقواعد التي تخضع لها األمانة العامة للحكومة,remorque,,,definition,السالمه | تخضع | اجهزه | تحدد | لها,0,0,0,0,0,0,0,0,0,0
ART_049,49,تقوم اإلدارة، قصد التأكد من أن املركبة ذات محرك أو مجموعة املركبات أو الدراجة النارية أعاله، باملصادقة على48 و47 و46 يمكن أن تقبل للسير على الطريق العمومية مع التقيد بأحكام املواد . املذكورتين48 و47 املركبة وذلك بمراقبة خصائصها التقنية أو احترام املعايير املشار إليها في املادتين,non_specifie,,,definition,بمحرك | والدراجات | العجالت | كيلوغراما | املصادقه,0,0,0,0,0,0,0,0,0,0
ART_050,50,يمنع استخدام واستغالل كل مركبة على الطريق العمومية ال تكون خصائصها التقنية مطابقة . أعاله إلى حين مطابقتها لتلك القواعد48 و47 و46 للقواعد املقررة تطبيقا للمواد تطبق أحكام الفقرة األولى من هذه املادة أيضا على كل مقطورة يتجاوز وزنها اإلجمالي املأذون به,remorque,,,definition,كيلوغراما | استخدام | حين | يمنع | خصايصها,0,0,0,0,0,0,0,0,0,0
ART_051,51,تخضع كل مركبة أدخلت عليها، بعد املصادقة عليها، إحدى التغييرات املحددة من قبل اإلدارة إلى,vehicule_motorise,,,definition,املصادقه | تخضع | جديده | عليها | احدي,0,0,0,0,0,0,0,0,0,0
ART_052,52,يمكن لألعوان أو للهيئات املؤهلين قانونا من قبل اإلدارة، القيام بأخذ عينات من املركبات أو من عناصر أو أجهزة املركبات التي سبقت املصادقة عليها، كما هو منصوص عليه في هذا القانون والنصوص الصادرة لتطبيقه، لدى الصانعين أو املستوردين أو وكالء شركات املركبات وذلك ألجل,non_specifie,,,definition,املصادقه | اجهزه | املركبات | املراقبه | لدي,0,0,0,0,0,0,0,0,0,0
ART_053,53,يجب على كل مالك سيارة أو دراجة نارية أو دراجة ثالثية العجالت بمحرك أو دراجة رباعية العجالت ثقيلة بمحرك، أن يقوم بتسجيلها قبل الشروع في استخدامها ألول مرة . وتسلم له شهادة تطبق أحكام الفقرة األولى من هذه املادة على كل مقطورة يتجاوز وزنها اإلجمالي املأذون به محملة,moto,,,definition,دراجه | بمحرك | العجالت | كيلوغراما | وزنها,0,0,0,0,0,0,0,0,0,0
ART_054,54,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت مبوجب املادة األوىل من القانون رقم )5869 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال .تثبت شهادة التسجيل، مع مراعاة صحة تصريح املالك، مطابقة املركبة لخصائص املصادقة,vehicule_motorise,,,sanction,التسجيل | هويه | شهاده | املركبه | رقم,0,0,0,0,0,0,0,0,0,0
ART_055,55,تخضع أيضا للتسجيل، إذا كانت تسير على الطريق العمومية، املركبات الفالحية ذات محرك .واملركبات الغابوية ذات محرك وأريبات األشغال العمومية تطبق أحكام الفقرة األولى من هذه املادة على كل األجهزة الفالحية واألجهزة الغابوية التي يتجاوز وزنها,non_specifie,,,definition,تسير | محرك | ذات | العموميه | كيلوغراما,0,0,0,0,0,0,0,0,0,0
ART_056,56,. لتسجيل خاص تحدده اإلدارة(((تخضع املركبات التي تملكها الدولة أو الجماعات الترابية . من الدستور135 حلت عبارة «الجماعات الترابية» محل عبارة «الجماعات املحلية» بموجب الفصل-1 األمانة العامة للحكومة,non_specifie,,,definition,محل | تخضع | بموجب | الفصل | الدوله,0,0,0,0,0,0,0,0,0,0
ART_057,57,يمكن أن تحرر شهادة تسجيل املركبة في حامل يكون قابال ألن تسجل عليه في شكل إلكتروني .املعلومات التي تحتوي عليها الشهادة والبيانات املتعلقة باملراقبة التقنية .تكون للمحرر في شكل إلكتروني نفس القيمة الثبوتية للمحرر على حامل من ورق,non_specifie,,,definition,شكل | املحرره | الحامل | شهاده | التسجيل,0,0,0,0,0,0,0,0,0,0
ART_058,58,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5869 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال .) سنوات10( تحدد مدة صالحية الحامل املحررة فيه شهادة التسجيل في عشر,vehicule_motorise,,,sanction,الحامل | التسجيل | تغيير | املحرره | شهاده,0,0,0,0,0,0,0,0,0,0
ART_059,59,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5869 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال يجب على كل من تملك مركبة، في حالة تغيير مالكها أو شراء مركبة جديدة أو مركبة سبق تسجيلها,vehicule_motorise,,,sanction,يوما | االجل | مركبه | لدي | املالك,0,0,0,0,0,0,0,0,0,0
ART_060,60,أعاله أيضا على كل شخص يصبح مالكا ملركبة خاضعة للتسجيل، على إثر إرث59 تطبق أحكام املادة أو هبة أو قسمة أو تصفية قضائية أو ممارسة حق استرداد أو تخلي عن ملكية أو بيع قضائي أو بيع . يوما90 املذكورة يرفع إلى59 غير أن األجل املشار إليه في الفقرة األولى من املادة,non_specifie,,,definition,ملكيه | ملركبه | اثر | خاضعه | للتسجيل,0,0,0,0,0,0,0,0,0,0
ART_061,61,يجب أن تكون كل مركبة مسجلة مزودة بصفائح تسجيل تحدد اإلدارة خصائصها وشروط تثبيتها من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (أضيفت مبوجب املادة الثالثة من القانون رقم )5882 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال,vehicule_motorise,,,sanction,اضيفت | خصايصها | الثالثه | بتاريخ | رقم,0,0,0,0,0,0,0,0,0,0
ART_062,62,يتم سحب كل مركبة خاضعة للتسجيل من السير بصفة نهائية بعد اإلدالء بتصريح بذلك وفق . املسطرة وداخل األجل املحددين من لدن اإلدارة,vehicule_motorise,,,definition,سحب | خاضعه | للتسجيل | االدالء | االجل,0,0,0,0,0,0,0,0,0,0
ART_063,63,يجب أن تكون شهادة التسجيل أو الوثيقة التي تحل محلها موجودة على متن املركبة أثناء سيرها .على الطريق العمومية األمانة العامة للحكومة,non_specifie,,,definition,والدراجات | العجالت | رباعيه | ثالثيه | اثناء,0,0,0,0,0,0,0,0,0,0
ART_064,64,ال تقبل الدراجات والدراجات ثالثية العجالت والدراجات رباعية العجالت للسير على الطريق : العمومية إال إذا كان مصادقا عليها من قبل اإلدارة، بعد مراقبة خصائصها التقنية وال سيما منها -	إطار العجالت ؛,non_specifie,,,definition,العجالت | والدراجات | ثالثيه | رباعيه | خصايصها,0,0,0,0,0,0,0,0,0,0
